"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"debate";10,498;-2,556;0,052;-0,754;-2,91
"câmara_dos_deputados";1,941;-3,116;-0,621;8,787;-3,547
"constituição_federal";31,306;-2,929;-1,534;-2,986;-3,334
"colocar";1,028;-0,093;2,697;-1,06;-3,334
"bahia";-5,866;0,158;2,697;-2,986;4,892
"art";40,915;-3,116;-3,636;-3,176;-3,547
"apresentar";-2,727;-2,556;15,352;0,388;-2,91
"amazona";-4,377;43,83;-1,965;-2,228;-0,643
"órgão";-1,444;11,141;-1,408;0,28;-0,821
"viver";-0,83;-0,579;5,359;0,586;-2,698
"polícia";5,688;-0,865;1,574;-2,796;-3,121
"pagar";-1,349;-0,865;23,261;-2,796;-3,121
"município";-5,493;11,726;3,42;-0,905;-3,121
"milícia";10,14;0,02;-0,545;-2,228;-2,488
"manutenção";45,435;-2,929;-5,717;-2,986;-3,334
"deixar";-0,075;-0,16;2,1;0,865;-3,547
"bandido";17,592;-2,001;-0,349;-2,04;-2,277
"autista";-4,377;-2,186;-4,266;66,61;-2,488
"audiência";-0,077;0;5,359;-0,61;-2,698
"atenção";8,856;-0,865;0,436;-2,796;-3,121
"área";-2,727;4,644;4,296;-0,754;-2,91
"possível";2,517;3,256;-0,439;-1,06;-3,334
"olhar";-1,349;0,272;3,42;-0,053;-1,15
"mostrar";1,447;-2,742;5,974;-0,905;-3,121
"moradia";-3,639;43,913;-1,339;-1,852;-2,068
"manter";15,033;-2,929;0,24;-2,986;-3,334
"liberdade";12,446;-0,579;-2,289;0;-2,698
"instituição";0,631;-2,556;10,91;-2,606;-2,91
"flagrante";42,541;-2,742;-5,353;-2,796;-3,121
"assunto";3,218;0,272;0,004;-0,905;-3,121
"trazer";-0,184;-0,009;10,91;-2,606;-2,91
"situação";0,033;-0,719;7,224;-0,754;-2,91
"sessão";17,29;-2,742;-2,955;0,241;-3,121
"relação";7,576;-0,119;-0,065;-1,665;-1,859
"querido";-4,377;-0,447;-1,965;24,437;-0,001
"passado";-5,493;11,726;3,42;-0,905;-3,121
"paraná";-4,377;0,905;-4,266;0,014;14,81
"parabenizar";-2,727;1,972;7,224;-0,754;-2,91
"oportunidade";0,374;0,272;-0,28;1,468;-3,121
"ocorrer";3,218;-0,865;3,42;-2,796;-3,121
"nome";5,106;2,48;-4,627;0;-2,698
"matéria";6,91;-0,009;0,052;-2,606;-2,91
"lembrar";-0,013;0,02;-0,545;6,4;-2,488
"gerar";-4,008;20,277;0,631;-2,04;-2,277
"considerar";25,749;-0,719;-2,62;-2,606;-2,91
"seguir";7,576;-1,633;-1,041;0,318;-1,859
"santa_catarina";-3,271;-1,633;1,623;0,318;1,733
"sair";0,298;0,02;1,57;-2,228;-0,643
"respeitar";17,592;-0,324;-1,647;-2,04;-2,277
"resolução";2,075;-2,001;4,753;-2,04;-2,277
"renda";-4,377;25,007;0,347;-2,228;-2,488
"próprio";1,976;0,427;0,052;-2,606;-0,975
"orientar";-1,081;-2,556;-4,989;-2,606;47,835
"organizado";-0,83;29,896;-0,766;-2,417;-2,698
"lado";-4,008;7,909;-1,647;3,728;-0,49
"honra";-5,12;-2,556;-0,151;34,146;-0,975
"existir";0,631;-0,009;4,296;-2,606;-2,91
"exemplo";-0,598;-0,447;6,657;0,014;-2,488
"especial";0,128;-0,579;2,812;0;-2,698
"caixa_econômica";-4,008;-0,324;24,511;-2,04;-2,277
"termo";12,446;0;-0,766;-2,417;-2,698
"social";-2,904;14,01;-2,83;3,003;-1,65
"policial";0,223;-0,119;4,157;-1,665;-1,859
"ministério";-0,013;-0,447;3,673;0,014;-2,488
"mesa";-0,216;-1,817;3,053;0,16;-0,348
"lutar";-2,052;-0,447;10,522;0,014;-2,488
"legislativo";1,454;-2,186;1,57;0,014;-2,488
"junto";-3,639;-1,817;-0,186;32,269;-2,068
"imunidade";25,331;-1,633;-3,187;-1,665;-1,859
"fato";8,374;-0,579;0,161;-2,417;-2,698
"estadual";-2,387;-2,371;5,359;5,348;-2,698
"educação";-3,639;-1,817;0,087;23,044;-2,068
"criar";-0,83;0;12,895;-2,417;-2,698
"apoio";-4,748;-2,371;23,688;0;-2,698
"anunciar";-4,377;17,563;1,57;-2,228;-2,488
"animal";-2,172;-1,085;17,264;-1,106;-1,234
"acabar";-0,83;0;5,359;0;-2,698
"último";-0,391;-2,001;8,253;-0,346;-0,49
"voltar";-0,391;0,076;0,631;0,063;-0,49
"transporte";-3,639;23,567;-0,186;-0,231;-2,068
"trabalhar";-1,725;0,076;0,631;3,728;-2,277
"sras";6,375;0,02;-0,006;-2,228;-2,488
"sociedade";3,479;-2,186;-0,006;0,848;-2,488
"resposta";25,331;-1,633;-3,187;-1,665;-1,859
"representante";-3,639;0,18;3,053;1,638;-2,068
"realizar";-1,406;-0,213;15,409;-1,852;-2,068
"polícia_federal";9,883;0,18;-1,339;-1,852;-2,068
"movimento";-2,904;7,582;-0,004;0,562;-1,65
"morte";4,532;0,076;0,01;-2,04;-2,277
"mato_grosso";0,066;9,501;-3,546;-0,231;-0,348
"judicial";17,592;-2,001;-1,647;-0,346;-2,277
"investigação";33,904;-2,186;-4,266;-2,228;-2,488
"hediondo";31,039;-2,001;-3,905;-2,04;-2,277
"habitacional";-2,904;45,039;-2,83;-1,478;-1,65
"exa";-4,008;-2,001;-1,647;-0,346;33,319
"eminente";-4,377;-2,186;-4,266;-0,474;48,285
"droga";2,308;0,6;-0,004;-1,478;-1,65
"deputado_federal";2,075;-2,001;0,01;1,19;-2,277
"defesa";0,223;-0,119;1,623;-0,132;-1,859
"coisa";-0,083;6,031;-3,187;2,224;-1,859
"ato";12,761;-1,267;-2,473;-0,007;-1,442
"assassinato";31,039;-2,001;-3,905;-2,04;-2,277
"amigo";-0,216;-1,817;1,043;4,665;-2,068
"agradecer";-0,391;-2,001;0,01;13,034;-2,277
"urbano";-2,904;22,395;-0,004;-1,478;-1,65
"tomar";0,565;-2,001;4,753;-0,346;-2,277
"supremo";25,331;-1,633;-3,187;-1,665;-1,859
"soltar";25,331;-1,633;-3,187;-1,665;-1,859
"solicitar";2,507;-0,54;-1,054;-0,551;0,573
"prerrogativa";18,257;-1,633;-1,041;-1,665;-1,859
"possibilidade";2,892;-1,817;3,053;-1,852;-2,068
"político";-0,391;1,258;0,631;-0,346;-0,49
"passo";-0,083;0,347;-0,065;2,224;-1,859
"papel";0,066;-1,817;6,117;-0,231;-2,068
"operação";-0,807;22,395;-0,759;-1,478;-1,65
"necessário";4,532;-0,324;0,01;-0,346;-2,277
"microfone";-4,008;-2,001;-3,905;-0,346;43,313
"liberar";5,405;-1,45;0,563;-1,478;-1,65
"juiz";22,488;-1,45;-2,83;-1,478;-1,65
"inafiançável";28,182;-1,817;-3,546;-1,852;-2,068
"importância";-0,391;-0,324;8,253;-0,346;-2,277
"grave";-1,725;28,605;-0,349;-2,04;-2,277
"garantir";0,066;-0,213;3,053;-0,231;-2,068
"feira";-3,639;-1,817;28,918;-1,852;-2,068
"emprego";-2,904;32,738;-0,759;-1,478;-1,65
"desenvolvimento";-2,904;3,112;5,624;-1,478;-1,65
"cumprir";0,958;-0,213;3,053;-1,852;-2,068
"criação";-3,271;-1,633;25,994;-1,665;-1,859
"conseguir";0,004;0,076;2,212;-0,346;-2,277
"concluir";2,308;-0,046;0,563;-1,478;-1,65
"certeza";0,004;-0,324;4,753;-0,346;-2,277
"cautelar";31,039;-2,001;-3,905;-2,04;-2,277
"br";-1,808;0,089;7,656;-0,92;-1,027
"aprovação";3,97;-1,633;0,259;-0,132;-1,859
"aparte";-4,008;-2,001;-3,905;-2,04;54,617
"agricultura";-3,639;-0,213;21,637;-1,852;-2,068
"achar";-3,639;0,18;-0,186;15,368;-2,068
"zona";-1,808;28,044;-1,762;-0,92;-1,027
"tema";-1,406;-0,213;10,236;-0,231;-2,068
"silvestre";-2,537;-1,267;20,166;-1,292;-1,442
"sentido";2,892;-1,817;1,043;-0,231;-2,068
"semana";-1,406;1,717;6,117;-1,852;-2,068
"responsabilidade";-0,107;0,089;-0,092;2,318;-1,027
"reconhecer";-1,099;-1,633;-0,065;18,259;-1,859
"presidência";2,892;-1,817;-3,546;9,242;-2,068
"potássio";-2,904;45,039;-2,83;-1,478;-1,65
"popular";0,066;15,749;-3,546;-0,231;-2,068
"permitir";-0,009;-1,45;0,563;-0,054;0,371
"perder";-0,216;-1,817;10,236;-0,231;-2,068
"obra";-2,537;39,36;-2,473;-1,292;-1,442
"mínimo";0,979;0,977;0,026;-1,292;-1,442
"manifestação";-1,406;-1,817;-0,186;9,242;0,067
"jaboatão";-2,537;-1,267;13,137;-0,007;-1,442
"investimento";-2,904;22,395;-0,004;-1,478;-1,65
"inteiro";0,958;-1,817;1,043;0,16;-2,068
"inclusão";-0,807;-1,45;-0,004;13,679;-1,65
"imprensa";0,148;12,409;-2,117;-1,106;-1,234
"guarda";-2,172;-1,085;17,264;-1,106;-1,234
"garantia";3,97;-1,633;0,259;-0,132;-1,859
"fundamental";0,958;-0,213;1,043;-0,231;-2,068
"frente";-1,406;0,18;6,117;-0,231;-2,068
"enfermagem";-2,172;-1,085;17,264;-1,106;-1,234
"economia";-1,099;2,317;4,157;-1,665;-1,859
"discutir";2,892;-0,213;1,043;-1,852;-2,068
"devido";5,405;-1,45;-0,004;-0,054;-1,65
"defensoria_pública";-2,172;0,01;10,368;-1,106;-1,234
"cuidar";-2,904;-1,45;15,944;-0,054;-1,65
"construir";-2,904;45,039;-2,83;-1,478;-1,65
"compromisso";-0,807;7,582;-0,759;-0,054;-0,114
"comissão_de_constituição_e_justiça";25,331;-1,633;-3,187;-1,665;-1,859
"civil";12,339;-1,633;-0,065;-1,665;-1,859
"cadeia";-1,099;6,031;1,623;-1,665;-1,859
"assumir";-1,099;2,317;0,259;0,318;-1,859
"anderson";28,182;-1,817;-3,546;-1,852;-2,068
"acusar";0,958;15,749;-3,546;-1,852;-2,068
"vista";1,518;2,317;-0,065;-1,665;-1,859
"valer";0,148;-1,085;-2,117;12,127;-1,234
"sério";0,223;2,317;-1,041;0,318;-1,859
"sul";-2,537;39,36;-2,473;-1,292;-1,442
"stf";5,405;-1,45;0,563;-1,478;-1,65
"seguinte";22,488;-1,45;-2,83;-1,478;-1,65
"saudar";-3,271;0,347;-1,041;18,259;-1,859
"rodovia";-2,537;-1,267;20,166;-1,292;-1,442
"rio_grande_do_norte";-0,004;0,299;-0,002;-0,735;0,185
"região";-3,271;6,031;-1,041;5,85;-1,859
"registro";-0,807;-1,45;-0,759;21,915;-1,65
"razão";9,801;-0,046;-0,759;-1,478;-1,65
"punir";9,801;-0,046;-0,759;-1,478;-1,65
"produtor";-2,904;-0,046;15,944;-1,478;-1,65
"preventivo";22,488;-1,45;-2,83;-1,478;-1,65
"piso";-2,904;-1,45;23,076;-1,478;-1,65
"partido";0,223;-1,633;1,623;-1,665;0,179
"organização";9,801;-1,45;-0,004;-1,478;-1,65
"obstrução";19,653;-1,267;-2,473;-1,292;-1,442
"número";-2,537;0,977;3,58;-1,292;-0,036
"municipal";-2,904;-0,046;15,944;-1,478;-1,65
"mandante";25,331;-1,633;-3,187;-1,665;-1,859
"lugar";-0,536;-1,267;0,026;4,055;-0,036
"jovem";-3,271;-1,633;4,157;5,85;-1,859
"inscrição";-3,271;-1,633;-3,187;-1,665;44,574
"idade";-0,107;0,089;0,518;0,079;-1,027
"homem";-2,904;7,582;-0,004;0,562;-1,65
"feliz";-3,271;-1,633;-1,041;37,546;-1,859
"espírito_santo";-2,172;-1,085;10,368;-1,106;0
"equipa";-0,807;0,6;2,436;-0,054;-1,65
"enfrentar";-0,536;-0,005;7,609;-1,292;-1,442
"discussão";12,761;-1,267;-0,499;-1,292;-1,442
"dignidade";-3,271;38,308;-1,041;-1,665;-1,859
"congresso_nacional";1,518;-1,633;-1,041;5,85;-1,859
"condição";-0,009;-1,45;5,624;-0,054;-1,65
"cidadania";18,257;-1,633;-3,187;-0,132;-1,859
"carinho";-2,904;-1,45;-0,004;21,915;-1,65
"autoridade";0,017;-1,267;-2,473;16,923;-1,442
"acordo";0,017;-1,267;3,58;-1,292;-0,036
"vitória";0,148;-1,085;5,221;-1,106;-1,234
"uso";-2,537;-1,267;0,026;-0,007;8,098
"técnico";-0,807;-1,45;15,944;-1,478;-1,65
"tornar";0,148;0,01;1,823;-1,106;-1,234
"subsidiário";-1,808;-0,903;14,368;-0,92;-1,027
"sofrer";-2,537;-0,005;1,053;4,055;-1,442
"seguida";-0,807;-1,45;-2,83;-0,054;19,332
"reunião";12,761;-1,267;-2,473;-1,292;-0,036
"relator";15,495;-1,45;-0,759;-1,478;-1,65
"receber";-2,537;0,977;0,026;4,055;-1,442
"proteger";5,405;-1,45;0,563;-1,478;-1,65
"produzir";-2,904;0,6;5,624;-0,054;-1,65
"principal";-2,904;22,395;-0,004;-1,478;-1,65
"praticar";5,405;-0,046;-0,004;-1,478;-1,65
"ponto";-2,904;22,395;-0,004;-1,478;-1,65
"pensar";-0,009;3,112;0,563;-1,478;-1,65
"partir";-0,807;-0,046;5,624;-1,478;-0,114
"paraíba";-1,808;0,089;3,039;0,079;-1,027
"necessidade";-0,807;7,582;0,563;-1,478;-1,65
"mão";0,017;17,303;-2,473;-1,292;-1,442
"mudar";-2,537;4,184;1,053;-0,007;-1,442
"milhar";-1,808;-0,903;14,368;-0,92;-1,027
"medida";15,495;-0,046;-2,83;-1,478;-1,65
"longo";7,352;-0,005;-0,499;-1,292;-1,442
"jogo";-0,297;-1,085;10,368;-1,106;-1,234
"irmão";0,509;-1,45;-2,83;13,679;-1,65
"história";0,509;-0,046;2,436;-1,478;-1,65
"grupo";0,979;-0,005;0,026;-0,007;-1,442
"gestão";-0,807;0,6;0,563;0,562;-1,65
"falta";-2,537;0,977;3,58;-0,007;-1,442
"espaço";-0,009;-0,046;-0,004;3,003;-1,65
"dúvida";0,509;-0,046;0,563;-0,054;-1,65
"dono";0,017;0,977;0,026;-0,007;-1,442
"discurso";7,424;-0,903;-1,762;0,079;-1,027
"dirigir";-2,904;-0,046;-0,759;-1,478;19,332
"dinheiro";-2,904;0,6;5,624;-0,054;-1,65
"crise";-2,537;-0,005;13,137;-1,292;-1,442
"constitucional";10,064;0,01;-2,117;-1,106;-1,234
"conquista";-2,172;0,01;10,368;-1,106;-1,234
"conhecer";-2,904;-1,45;-0,004;21,915;-1,65
"cobrar";-0,536;-1,267;13,137;-1,292;-1,442
"chamado";0,017;-0,005;1,053;-0,007;-1,442
"certo";-0,536;-1,267;7,609;-0,007;-1,442
"categoria";-2,172;-1,085;17,264;-1,106;-1,234
"caro";0,148;0,01;1,823;-1,106;-1,234
"bancada";9,801;-1,45;-2,83;-1,478;0,371
"atendimento";-2,904;-0,046;10,127;-0,054;-1,65
"associação";-2,537;0,977;7,609;-1,292;-1,442
"anúncio";-2,537;9,626;1,053;-1,292;-1,442
"alexandre_de_moraes";19,653;-1,267;-2,473;-1,292;-1,442
"agente";-2,904;-1,45;15,944;-0,054;-1,65
"acompanhar";-0,536;-0,005;0,026;4,055;-1,442
"acidente";-1,808;-0,903;14,368;-0,92;-1,027
"abril";-2,537;-1,267;1,053;9,386;-1,442
"universidade";-2,172;-1,085;1,823;5,517;-1,234
"unanimidade";7,352;-1,267;-0,499;-0,007;-1,442
"turma";19,653;-1,267;-2,473;-1,292;-1,442
"torno";0,979;4,184;-0,499;-1,292;-1,442
"terreno";-1,444;3,772;-0,002;0,28;-0,821
"tender";7,352;-0,005;-2,473;-0,007;-1,442
"solução";-2,537;-0,005;13,137;-1,292;-1,442
"servir";0,979;-1,267;0,026;0,929;-1,442
"resultado";7,352;-1,267;0,026;-1,292;-1,442
"respeitado";0,017;-1,267;-0,499;9,386;-1,442
"recurso";-2,172;-1,085;1,823;5,517;-1,234
"proteção";-2,537;-1,267;0,026;16,923;-1,442
"problema";-2,172;12,409;-0,27;0,007;-1,234
"prestar";-2,537;-1,267;3,58;4,055;-1,442
"presidir";-2,537;-0,005;0,026;9,386;-1,442
"parlamento_federal";-1,808;-0,903;-1,762;27,51;-1,027
"ordem";16,824;-1,085;-2,117;-1,106;-1,234
"ocupar";-0,536;0,977;-2,473;0,929;0,676
"ocupacional";-1,808;-0,903;14,368;-0,92;-1,027
"norte";-2,172;12,409;-2,117;1,477;-1,234
"nobre";-1,808;-0,903;3,039;2,318;-1,027
"nação";-0,297;-1,085;5,221;0,007;-1,234
"mês";-2,537;-0,005;1,053;4,055;-1,442
"médio";0,148;1,539;0,172;-1,106;-1,234
"missão";-2,537;-0,005;-0,499;9,386;-0,036
"mesmo";-0,107;-0,903;3,039;0,079;-1,027
"merecer";-0,107;-0,903;3,039;0,079;-1,027
"membro";16,824;-1,085;-2,117;-1,106;-1,234
"melhorar";-0,536;-1,267;7,609;-0,007;-1,442
"maranhão";-1,808;28,044;-1,762;-0,92;-1,027
"ligação";-2,537;39,36;-2,473;-1,292;-1,442
"liberdade_de_expressão";3,424;-1,267;0,026;-0,007;-1,442
"legal";16,824;-1,085;-2,117;-1,106;-1,234
"justo";-0,536;-1,267;3,58;0,929;-1,442
"judiciário";7,352;-1,267;0,026;-1,292;-1,442
"interesse";0,476;-0,903;3,039;-0,92;-1,027
"guerreiro";-1,082;6,181;-1,054;0,736;-0,615
"fronteira";1,148;-0,721;-0,002;0,28;-0,821
"final";-0,536;-0,005;3,58;-1,292;-0,036
"expor";7,424;-0,903;-0,092;-0,92;-1,027
"executar";1,148;0,299;-0,002;-0,735;-0,821
"estabelecer";-0,536;-1,267;13,137;-1,292;-1,442
"esposo";-2,172;-1,085;1,823;5,517;-1,234
"entendimento";19,653;-1,267;-2,473;-1,292;-1,442
"energia";-2,172;12,409;0,172;-1,106;-1,234
"eleger";-0,297;0,01;-0,27;5,517;-1,234
"efeito";19,653;-1,267;-2,473;-1,292;-1,442
"documento";-0,004;-0,721;-1,408;10,903;-0,821
"direto";0,148;12,409;-2,117;-1,106;-1,234
"deficiência";-2,172;-1,085;0,172;12,127;-1,234
"defensoria";-1,444;-0,721;11,48;-0,735;-0,821
"dedicar";-2,537;-1,267;7,609;0,929;-1,442
"decidir";10,064;-1,085;-0,27;-1,106;-1,234
"conta";0,979;-0,005;0,026;-0,007;-1,442
"chuva";-2,172;5,672;1,823;-1,106;-1,234
"carteira";-1,444;-0,721;-1,408;21,981;-0,821
"campo";-2,172;1,539;1,823;0,007;-1,234
"caixa";-1,808;-0,903;14,368;-0,92;-1,027
"banco";-1,808;0,089;7,656;-0,92;-1,027
"avenida";-2,537;27,214;-2,473;-0,007;-1,442
"atitude";-0,297;-1,085;1,823;1,477;-1,234
"alegria";-2,537;-0,005;-0,499;16,923;-1,442
"agronegócio";-1,808;0,089;7,656;-0,92;-1,027
"absurdo";-0,107;0,089;0,518;0,079;-1,027
"ônibus";-1,808;16,374;-0,092;-0,92;-1,027
"total";-1,808;7,825;0,518;-0,92;-1,027
"setor";-0,107;-0,903;7,656;-0,92;-1,027
"senado";-0,004;-0,721;5,038;-0,735;-0,821
"salário";-1,444;3,772;1,212;-0,735;-0,821
"salvador";-1,808;7,825;0,518;-0,92;-1,027
"rápido";0,148;0,01;0,172;-1,106;0
"risco";-0,297;-1,085;5,221;0,007;-1,234
"requisito";14,002;-0,903;-1,762;-0,92;-1,027
"república";1,726;1,539;-0,27;-1,106;-1,234
"reforma";-1,444;-0,721;11,48;-0,735;-0,821
"quatro";-0,297;0,01;1,823;0,007;-1,234
"pássaro";-1,444;-0,721;11,48;-0,735;-0,821
"presidente_da_república";-1,808;28,044;-1,762;-0,92;-1,027
"posto";0,148;-1,085;5,221;-1,106;-1,234
"piauí";-1,808;-0,903;-1,762;-0,92;24,639
"oficial";-0,107;-0,903;-1,762;16,033;-1,027
"obstruir";16,824;-1,085;-2,117;-1,106;-1,234
"notícia";-2,172;5,672;1,823;-1,106;-1,234
"mãe";-1,444;3,772;-1,408;3,669;-0,821
"mulher";0,476;0,089;-0,092;0,079;-1,027
"modalidade";-0,107;16,374;-1,762;-0,92;-1,027
"mina";-2,172;5,672;1,823;-1,106;-1,234
"melhor";-0,297;1,539;0,172;0,007;-1,234
"manifestar";0,148;-1,085;5,221;-1,106;-1,234
"mandar";10,064;-1,085;-0,27;-1,106;-1,234
"magistrado";0,074;-0,54;2,601;-0,551;-0,615
"loteria";-1,808;-0,903;14,368;-0,92;-1,027
"legislação";-0,297;0,01;1,823;0,007;-1,234
"lançar";-1,444;22,407;-1,408;-0,735;-0,821
"julgar";14,002;-0,903;-1,762;-0,92;-1,027
