"Var1","Freq"
"à morte",2
"a motivação",1
"a movimentação",2
"a muito",2
"a muitos",1
"a multidão",2
"a nação",1
"à nação",1
"a não",5
"a necessidade",4
"a ninguém",1
"a norma",1
"à normalidade",1
"a nossa",33
"à nossa",2
"a nosso",2
"a número",1
"a obra",3
"a obrigação",1
"a olhar",1
"a ong",1
"a operação",1
"a oportunidade",4
"a ordem",2
"à ordem",3
"a organização",2
"a orientação",2
"a outra",1
"a palavra",87
"a paraíba",1
"à paraíba",1
"a parlamentares",1
"a participação",1
"a partir",6
"a passos",1
"a pauta",1
"a pec",2
"à pela",1
"a pelo",3
"a pena",1
"a perenidade",1
"a periclitação",1
"a periferia",1
"a permanência",1
"a pernambuco",1
"a perspectiva",2
"a pessoa",6
"a pior",1
"a placa",1
"a planta",1
"a polícia",13
"à polícia",1
"a política",3
"a ponte",1
"a população",17
"à população",3
"a por",1
"a porta",2
"à porta",1
"a portaria",1
"a possibilidade",9
"a potássio",1
"a pouco",4
"a pouquinho",4
"a praia",2
"a prática",1
"a preciosidade",1
"a prefeito",1
"a prefeitura",2
"a prerrogativa",1
"a presença",16
"a presente",1
"a preservação",2
"a presidência",2
"a presidente",1
"a pressão",2
"a primeira",4
"a princesa",1
"a principal",1
"a prioridade",1
"a prisão",21
"à prisão",3
"a produção",2
"a promover",1
"a proposta",2
"a própria",2
"a proteção",2
"à proteção",1
"a proteger",1
"a próxima",10
"a punição",1
"a qual",6
"a qualidade",2
"a qualquer",1
"a quarta",1
"a que",3
"a quem",2
"a questão",7
"a rádio",1
"a razão",1
"a realidade",2
"a receita",1
"a recíproca",1
"a rede",3
"a reforma",1
"a regra",1
"à regular",1
"a regularização",1
"a rejeição",1
"a relação",1
"a representação",1
"a representatividade",1
"a república",1
"a resolução",2
"a respeitável",1
"a respeito",1
"a responsabilidade",10
"a resposta",5
"a ressalva",1
"a retomada",3
"a reunião",1
"a riqueza",1
"a rondônia",1
"a rota",1
"à rua",1
"a safra",1
"a salários",1
"a salvador",1
"a salvar",1
"a são",3
"a saúde",3
"a secretaria",1
"a sede",1
"a segundos",1
"a segurança",5
"a senhora",3
"a sepetiba",1
"a ser",6
"a serem",2
"a serenidade",1
"a seriedade",1
"a sério",1
"a serra",1
"a sessão",5
"à sessão",1
"a sinalizar",1
"a situação",3
"à situação",1
"à soberania",1
"a sociedade",5
"à sociedade",3
"a solicitação",3
"a solidão",1
"a soltura",1
"à soltura",1
"a sr",1
"a sua",23
"à sua",1
"a subsidiária",4
"a suspensão",1
"à sustentabilidade",1
"à tarde",2
"a ter",2
"a terceira",1
"a terem",1
"a terra",2
"à terra",2
"a tetê",1
"a toda",1
"a todas",1
"a todo",3
"a todos",21
"a tortura",1
"a tranquilidade",1
"a transwolff",1
"a trata",1
"a tratar",3
"a tribuna",6
"à tribuna",19
"a uai",1
"a ufrn",1
"a última",1
"a ultradireita",2
"a um",5
"a uma",2
"à unanimidade",2
"a união",2
"a única",2
"a unidade",1
"a upbus",1
"a uso",1
"a v",1
"a valorização",1
"a veiculação",1
"a veículos",1
"à venda",1
"a ver",1
"a verdade",2
"a verdadeira",1
"a vereadora",1
"a verinha",1
"a via",1
"a vida",5
"a vinda",1
"a violência",1
"a visita",4
"a vítima",1
"a você",1
"a votação",7
"à votação",1
"a votos",2
"a voz",1
"a voz_do_brasil",22
"a zona",6
"abafa não",1
"abafa para",1
"abafada e",1
"abafado e",1
"abalou o",1
"abandono e",1
"abençoada na",1
"abençoador de",1
"abençoando a",1
"abençoe as",1
"abençoe jaboatão",1
"abençoe viva",1
"abençoe você",1
"abençoe vocês",1
"aberta a",2
"abertas para",1
"aberto gente",1
"aberto os",1
"aberto para",1
"abertura de",1
"abilio por",1
"aborto um",1
"abraão a",1
"abraço ao",1
"abraço especial",1
"abraço muito",1
"abraço pastor",1
"abraço sr",1
"abraço também",1
"abre num",1
"abril azul",1
"abril de",1
"abril e",1
"abril é",1
"abril foi",1
"abril inclusive",1
"abril nós",1
"abril que",1
"abrimos um",1
"abrir mão",1
"absoluta dos",1
"absoluta se",2
"absolutamente claro",1
"absolutamente nada",1
"absolutamente nenhum",1
"absolutamente pertinente",1
"absoluto eles",1
"absolutos não",1
"absolvição de",1
"absolvição é",1
"abstenção conta",1
"abstenção ou",2
"abstracto em",1
"absurdo a",1
"absurdo de",1
"absurdo eu",1
"absurdo na",1
"absurdo ocorreu",1
"absurdo termos",1
"absurdo um",1
"abusivas do",1
"abuso já",1
"ac nº",1
"acaba com",1
"acaba de",1
"acaba influenciando",1
"acabamos de",1
"acabamos nos",1
"acabamos sendo",1
"acabar com",2
"acabarmos com",1
"acabo de",1
"acabou com",1
"acabou de",1
"acabou o",1
"ação aqui",1
"ação concreta",1
"ação criminosa",1
"ação de",2
"ação desse",1
"ação direta",1
"ação do",1
"ação e",3
"ação efetiva",1
"ação policial",1
"acarretará sobre",1
"acata a",2
"acata para",1
"aceitação que",1
"aceitam a",1
"aceitamos a",1
"aceitando isso",1
"aceitar essa",1
"aceitar um",1
"acelerada e",1
"acelerada que",1
"acerca da",2
"acerca das",1
"acerca do",1
"acertado na",1
"acessar um",1
"acesso à",6
"acha que",1
"acham que",2
"achar caminhos",1
"achei muito",1
"acho até",1
"acho que",4
"acho uma",1
"acidente em",1
"acidentes fatais",1
"acidentes mas",1
"acidentes no",1
"acidentes por",3
"acidentes que",1
"acima de",4
"acima exposto",1
"acobertar os",1
"açodada a",1
"açodada nós",1
"ações além",1
"ações complementares",1
"ações de",1
"ações do",2
"ações e",1
"ações fortalecendo",2
"ações judiciais",1
"ações legislativas",1
"ações na",1
"acolhemos a",1
"acolhidas pelo",1
"acolhidos e",2
"acolhimento aos",2
"acolhimento da",1
"acolhimento e",2
"acolhimento enfim",1
"acompanhado de",1
"acompanhados da",1
"acompanham nesta",1
"acompanhamento do",1
"acompanhando a",1
"acompanhando aqui",1
"acompanhando para",1
"acompanhando todos",1
"acompanhar e",1
"acompanhar também",1
"aconteça de",1
"aconteça em",1
"aconteça no",1
"aconteça nós",1
"acontece mais",1
"acontecem acidentes",1
"acontecendo a",2
"acontecendo aqui",1
"acontecendo em",1
"acontecendo na",2
"acontecendo neste",1
"acontecendo no",1
"acontecer a",2
"acontecer ainda",1
"acontecer após",1
"acontecer nos",1
"aconteceu anos",1
"aconteceu esta",1
"aconteceu houve",1
"aconteceu isto",1
"aconteceu lá",1
"aconteceu no",1
"aconteceu passados",1
"aconteceu por",1
"acontecido sou",1
"acordo com",3
"acordo de",1
"acordo feito",1
"acordo firmado",1
"acovardam se",1
"acovardar diante",1
"acovardem mostrem",1
"acre do",1
"acredito eu",1
"acredito que",1
"açude de",1
"acudir essas",1
"acudir o",2
"acumulam perdas",1
"acúmulos que",1
"acusação contra",1
"acusação seríssima",1
"acusações tão",1
"acusada de",2
"acusadas de",2
"acusado de",2
"acusado durante",1
"acusados de",1
"acusar as",1
"acusou de",1
"adelmário coelho",1
"adequadamente fundamentada",1
"adianto que",1
"adjacentes além",1
"administração seja",1
"administrado há",1
"administrar algo",1
"administrar as",1
"administrativo numa",1
"administrativos como",1
"administrativos das",1
"administrativos em",2
"admiro do",1
"admissível o",1
"admissível por",1
"admitir deputada",1
"admitiu a",1
"adoecendo então",1
"adora dizer",2
"adotado na",1
"adotou o",1
"adpf das",1
"adpf também",1
"adriana ventura",1
"adriano da",1
"adultos em",1
"advogado do",2
"advogado já",1
"advogado que",3
"aeroporto com",1
"afastada a",1
"afastamento da",1
"afastou se",1
"aferir a",1
"afeta inúmeras",1
"afetam desproporcionalmente",1
"afiançabilidade de",1
"afiançáveis todos",1
"afigura razoável",1
"afinal aprovar",1
"afinal trata",1
"afonso hamm",3
"afora a",1
"áfrica de",1
"agente público",2
"agentes guardas",1
"agentes nocivos",2
"agentes públicos",1
"agir e",1
"agiram sozinhas",1
"agonizando dentro",1
"agora a",5
"agora à",2
"agora alardeados",1
"agora anunciaram",1
"agora ao",6
"agora as",1
"agora às",1
"agora até",1
"agora chamando",1
"agora com",2
"agora da",2
"agora das",1
"agora de",2
"agora do",5
"agora é",1
"agora ele",1
"agora então",1
"agora estão",1
"agora este",1
"agora eu",2
"agora ex",1
"agora exa",1
"agora foi",3
"agora há",2
"agora já",1
"agora mas",1
"agora na",2
"agora neste",2
"agora no",1
"agora nos",2
"agora nós",11
"agora o",5
"agora para",4
"agora pelo",1
"agora que",2
"agora queremos",1
"agora quero",1
"agora sim",3
"agora sobre",1
"agora um",2
"agora vamos",2
"agora vem",2
"agora voltaram",1
"agouro que",2
"agradecendo ao",1
"agradecer ao",2
"agradecer e",1
"agradeço a",3
"agradeço mais",1
"agradeço muitíssimo",1
"agradeço presidente",1
"agradeço toda",1
"agrária é",1
"agrária mas",1
"agregaram nada",1
"agressão o",1
"agressões físicas",2
"agrícola as",1
"agricultor brasileiro",1
"agricultor e",1
"agricultor quanto",1
"agricultores do",1
"agricultores para",1
"agricultores que",1
"agricultura com",1
"agricultura convocando",1
"agricultura desta",1
"agricultura enio",1
"agricultura familiar",1
"agricultura para",1
"agricultura possa",1
"agricultura que",1
"agricultura urbana",1
"agride ataca",1
"agrofamiliar debater",1
"agronegócio aliás",1
"agronegócio estão",1
"agronegócio há",1
"agronegócio os",1
"agronegócio principalmente",1
"agronegócio que",1
"agronomia confea",1
"agropecuária eu",1
"agropecuária os",1
"aguardamos agora",1
"aguardando a",1
"aguardavam essa",1
"aguardávamos há",1
"aguentamos mais",1
"aguentando mais",1
"aí a",1
"aí dizem",1
"aí eles",1
"aí eu",1
"aí não",1
"aí presidindo",1
"aí quando",1
"aí quero",1
"aí sim",1
"aí tão",1
"aí todo",1
"ainda até",1
"ainda chamar",1
"ainda com",1
"ainda da",1
"ainda das",1
"ainda deputado",1
"ainda há",1
"ainda hoje",2
"ainda houve",1
"ainda maior",1
"ainda mais",3
"ainda mas",1
"ainda na",1
"ainda não",2
"ainda o",1
"ainda pelo",1
"ainda persiste",1
"ainda que",2
"ainda tem",2
"airton faleiro",1
"ajuda a",1
"ajuda aos",1
"ajudado com",1
"ajudar a",1
"ajudar nessa",1
"ajudar o",1
"ajudou muito",1
"ajustes aqui",1
"alagada ruas",1
"alagadas por",1
"alagoas no",1
"alagoas nós",2
"alagoas serão",1
"alagoas teve",1
"alardeados pelo",1
"alba posse",1
"alberto fraga",1
"alcançou essa",1
"alceu de",1
"alden e",1
"alden marcelo",1
"alden o",2
"alden peço",1
"alden tem",1
"alegação é",1
"alegada por",1
"alegando um",1
"alegre na",1
"alegria a",1
"alegria apresentar",1
"alegria aqui",1
"alegria de",1
"alegria e",2
"alegria muito",1
"além da",3
"além das",1
"além de",9
"além disso",3
"além do",2
"além dos",2
"além e",1
"além na",1
"alencar do",3
"alencar que",1
"alencar um",1
"alencar vai",1
"alerta sr",1
"alertando desta",1
"alertei e",1
"alex gonçalves",1
"alexandre saltz",1
"alexandre_de_moraes agora",1
"alexandre_de_moraes contrataram",1
"alexandre_de_moraes do",2
"alexandre_de_moraes inclusive",1
"alexandre_de_moraes nos",1
"alexandre_de_moraes referendada",1
"alexandre_de_moraes remeteu",1
"alexandrina em",1
"alfredinho e",1
"alfredinho fazer",1
"alfredinho não",1
"alfredinho tem",1
"alfredo gaspar",4
"algo draconiano",1
"algo em",1
"algo muito",2
"algo no",1
"algo que",5
"algo relacionado",1
"algo significativo",2
"alguém aqui",1
"alguém de",1
"alguém fazendo",1
"alguém nunca",1
"alguém que",2
"algum líder",2
"algum ministro",1
"algum só",1
"algum tempo",1
"alguma após",1
"alguma atitude",1
"alguma coisa",1
"alguma forma",1
"alguma sair",1
"alguma ser",1
"algumas explicações",1
"algumas justificativas",1
"algumas localidades",1
"algumas questões",1
"alguns agentes",1
"alguns ajustes",1
"alguns colegas",1
"alguns deputados",2
"alguns dias",1
"alguns interpretam",1
"alguns já",1
"alguns mas",1
"alguns meses",1
"alguns minutos",1
"alguns pontos",1
"alguns precedentes",1
"alguns principalmente",1
"alguns questionamentos",1
"ali acolhidos",1
"ali da",1
"ali do",1
"ali nos",1
"ali o",1
"ali pelo",2
"ali tem",1
"aliado do",1
"aliás é",1
"aliás ele",1
"aliás escutei",1
"aliás está",2
"aliás todo",1
"aliás todos",1
"aliás vai",1
"alice chega",1
"alice era",1
"alice portugal",6
"alimento que",1
"alimentos aí",1
"alimentos saudáveis",1
"alinho e",1
"almoçar nós",1
"almoçar quando",1
"almoçar urgentemente",1
"almoce no",1
"almoço almoce",1
"almoço até",1
"alonga e",1
"altas dom",1
"altera a",1
"alto nível",1
"alugada você",1
"aluna dedicada",1
"álvaro antônio",2
"alvo de",1
"alvorada como",1
"alyce que",1
"amado por",1
"amadorismo o",1
"amamos daqui",1
"amanhã estará",1
"amanhã ou",1
"amanhã serão",1
"amanhã vai",1
"amantes do",1
"amaral da",1
"amaral em",1
"amaral nós",1
"amaral por",1
"amaral terá",1
"amarela e",1
"amazonas atendendo",1
"amazonas com",1
"amazonas danilo",1
"amazonas e",3
"amazonas fora",1
"amazonas não",1
"amazonas no",1
"amazonas nos",1
"amazonas nós",4
"amazonas região",1
"amazonas será",1
"amazonas tem",1
"amazônia desde",1
"amazônia por",1
"ambas trabalham",1
"ambientais e",1
"ambientais federais",1
"ambiental a",1
"ambiental o",1
"ambiental para",1
"ambiental portanto",1
"ambiente de",1
"ambiente juza",1
"ambiente que",1
"ambiente regulado",1
"âmbito ambulatorial",1
"âmbito do",1
"ambulatorial ninguém",1
"ameaçada eu",1
"ameaçada nós",1
"ameaçado nós",1
"amiga do",1
"amigo e",1
"amigo lindner",1
"amigo márcio",1
"amigo meu",1
"amigo pompeo",1
"amigo que",1
"amigo rodrigo",1
"amigos audiência",1
"amigos da",1
"amigos dois",1
"amofinam se",1
"amor de",1
"ampla divulgação",1
"ampla investigação",1
"amplia esse",1
"ampliadas sejam",1
"ampliar esse",2
"ampliar esses",1
"ampliou a",1
"amplitude e",1
"amplo direito",1
"anais da",1
"anais e",1
"analisar o",1
"analisaremos o",1
"análise acerca",1
"análise das",1
"análise do",2
"análise são",1
"analogia pelo",1
"anápolis e",1
"anápolis ele",1
"anápolis em",1
"anápolis o",1
"anápolis que",1
"andam na",1
"andamento lá",1
"andar do",1
"andar nas",1
"anderson de",1
"anderson é",1
"anderson gomes",3
"anderson nós",1
"anderson ouvindo",1
"anderson que",1
"anderson um",1
"andou a",1
"aneel com",1
"animais que",1
"animais silvestres",5
"animais traficados",1
"animal doméstico",1
"animal em",1
"animal não",1
"animal silvestre",3
"aninha carvalho",1
"anistia para",1
"anistia quer",1
"ano de",2
"ano nós",1
"ano passado",5
"ano que",1
"ano vai",1
"anos a",2
"anos aqui",1
"anos assim",1
"anos de",10
"anos depois",1
"anos do",2
"anos esperando",1
"anos eu",1
"anos há",1
"anos hoje",1
"anos levamos",1
"anos naquela",1
"anos nosso",1
"anos o",3
"anos para",1
"anos pelo",1
"anos perdeu",1
"anos portanto",1
"anos presidente",1
"anos pronta",1
"anos que",2
"anos são",1
"anos trazendo",1
"anos um",1
"anos usando",1
"anos viram",1
"anotação deputado",1
"anta uma",1
"ante o",1
"antecedeu deputado",1
"antecipadamente porque",1
"antecipar o",2
"anterior esses",1
"anterior mas",1
"anterior que",1
"anteriores aumentou",1
"antes da",1
"antes das",1
"antes de",5
"antes do",1
"antes e",2
"antes eu",1
"antes informando",1
"antes o",1
"antes porém",3
"antes que",1
"antes quero",1
"antes senão",1
"antidemocráticos deste",1
"antiga foi",1
"antigo da",1
"antigos precisem",1
"antigos pudessem",1
"antônio conselheiro",1
"antônio de",2
"anual o",1
"anuncia para",1
"anunciada uma",1
"anunciadas na",1
"anunciado o",2
"anunciados hoje",1
"anunciados na",1
"anunciar a",2
"anunciar o",1
"anunciaram que",1
"anunciaram ter",1
"anúncio de",5
"anúncio hoje",1
"anúncio importante",1
"anúncios que",1
"anunciou o",1
"ao acolhimento",1
"ao advogado",3
"ao arrepio",1
"ao art",1
"ao banco",1
"ao brasil",1
"ao ceará",1
"ao coffito",1
"ao conselho",1
"ao contrário",1
"ao crefito",1
"ao crime",1
"ao deputado",22
"ao destino",1
"ao estado",2
"ao governo",1
"ao grande",1
"ao lado",4
"ao longo",7
"ao maranhão",3
"ao mato",4
"ao menos",1
"ao mesmo",3
"ao meu",4
"ao microfone",2
"ao ministério",3
"ao ministro",1
"ao movimento",2
"ao mundo",1
"ao nosso",5
"ao país",1
"ao paraná",5
"ao parecer",1
"ao parlamento",3
"ao parlasul",1
"ao partido",1
"ao pedido",5
"ao piauí",3
"ao plenário",9
"ao povo",3
"ao presidente",5
"ao processo",1
"ao programa",2
"ao projeto",1
"ao próprio",1
"ao psol",1
"ao que",2
"ao redor",1
"ao registrar",1
"ao relator",2
"ao requisito",2
"ao respeito",2
"ao rio",1
"ao rio_de_janeiro",5
"ao rio_grande_do_norte",2
"ao rio_grande_do_sul",2
"ao rito",1
"ao senado",1
"ao senhor",2
"ao serviço",1
"ao seu",2
"ao sr",2
"ao stf",2
"ao supremo_tribunal_federal",1
"ao tema",1
"ao transporte",1
"ao união",1
"ao ver",1
"ao votar",2
"ao voto",1
"aonde bolsonaro",2
"aonde portanto",1
"aos amigos",1
"aos autistas",4
"aos brasileiros",1
"aos colegas",2
"aos convidados",1
"aos criminosos",1
"aos dois",1
"aos empreendedores",1
"aos engenheiros",1
"aos fisioterapeutas",1
"aos grandes",1
"aos líderes",1
"aos membros",1
"aos meus",2
"aos nossos",2
"aos órgãos",2
"aos parlamentares",2
"aos senhores",1
"aos servidores",1
"aos seus",1
"aos srs",2
"aos terrenos",1
"aos trabalhadores",5
"aos usuários",1
"apadrinhamento lá",1
"apaixonei me",1
"aparato policial",1
"aparece assim",1
"apareceram os",1
"aparelho de",2
"apartamentos construídos",1
"aparte à",1
"aparte ao",2
"aparte dois",1
"aparte o",1
"aparte ou",1
"aparte tem",1
"apartes conceder",1
"apartes está",1
"apartheid da",1
"apelar aos",1
"apelo ao",2
"apelo aqui",1
"apenas a",1
"apenas agentes",1
"apenas alguns",2
"apenas de",2
"apenas minuto",1
"apenas o",1
"apenas ou",1
"apenas para",1
"apenas quando",1
"apenas reais",1
"apenas uma",1
"apensados ao",1
"apertado porque",1
"apesar de",3
"aplaudimos aqueles",1
"aplausos querem",1
"aplicada desde",1
"aplicada pelo",1
"aplicado em",1
"apodreça na",1
"apodrecer na",1
"apoia e",2
"apoiando ações",2
"apoio a",1
"apoio à",3
"apoio ao",2
"apoio aos",1
"apoio da",1
"apoio do",2
"apoio e",1
"apoio o",1
"aponta expansão",1
"apontado a",1
"apontado seja",1
"apontando enquanto",1
"aporte de",1
"após a",1
"após algum",1
"após decisão",1
"após esse",1
"após não",1
"após vamos",1
"aposentadoria de",1
"aposentadoria especial",2
"aposentadoria há",1
"aposentar essa",1
"aposentar se",1
"apostas das",1
"apreciação da",2
"apreciação das",1
"apreciação de",1
"apreciada nesta",1
"apreciados por",1
"apreço muito",1
"apresentadas o",1
"apresentando aqui",1
"apresentando e",1
"apresentando hoje",1
"apresentando presidente",1
"apresentar aqui",1
"apresentar esse",1
"apresentar neste",1
"apresentar no",1
"apresentar o",1
"apresentar uma",1
"apresentei o",2
"apresentem este",1
"apresentou com",1
"apresentou importantes",1
"apresentou seu",1
"aprofundamento das",1
"aprofundamento do",2
"aprofundar e",1
"aprofundar o",1
"aprová lo",1
"aprovação de",1
"aprovação do",6
"aprovação hoje",1
"aprovação na",1
"aprovação nestas",1
"aprovada ano",1
"aprovada hoje",1
"aprovado aqui",1
"aprovado e",1
"aprovado exatamente",1
"aprovado hoje",1
"aprovado isso",1
"aprovado lá",1
"aprovado o",1
"aprovado por",1
"aprovamos na",2
"aprovamos no",1
"aprovamos uma",1
"aprovando esse",1
"aprovar na",1
"aprovar o",2
"aprovar por",1
"aprovar que",1
"aproveitamento houve",1
"aproveitar esta",1
"aproveitar este",1
"aproveitar para",2
"aprovemos o",1
"aproximadamente mil",1
"aquático na",1
"aquela dificuldade",1
"àquela família",1
"aquela inscrita",1
"aquela organizada",1
"àquela população",1
"aquela realidade",1
"aquela resolução",1
"aquelas do",1
"aquelas e",1
"aquele animal",1
"aquele desafio",1
"aquele documento",1
"aquele espaço",1
"aquele movimento",1
"aquele povo",1
"aquele produtor",1
"aquele que",2
"aquele sentimento",1
"àqueles autistas",1
"aqueles companheiros",1
"aqueles contra",1
"aqueles de",1
"aqueles hábitos",1
"aqueles hediondos",1
"aqueles ligados",1
"aqueles que",14
"àqueles que",3
"aqui a",5
"aqui à",2
"aqui agora",1
"aqui agradecer",1
"aqui ao",4
"aqui aos",1
"aqui após",1
"aqui aproveitar",1
"aqui brasil",1
"aqui cassação",1
"aqui citar",1
"aqui com",2
"aqui comemoro",1
"aqui como",3
"aqui conosco",2
"aqui criança",1
"aqui da",2
"aqui de",6
"aqui deputado",1
"aqui destaco",1
"aqui deste",1
"aqui deus",1
"aqui diz",1
"aqui dizer",3
"aqui do",2
"aqui dois",1
"aqui e",6
"aqui é",2
"aqui ele",1
"aqui eles",1
"aqui em",4
"aqui então",1
"aqui estão",1
"aqui eu",4
"aqui falando",2
"aqui falar",1
"aqui felipe",1
"aqui foi",1
"aqui hoje",6
"aqui isso",1
"aqui levante",1
"aqui logo",1
"aqui mas",1
"aqui mesmo",1
"aqui muito",2
"aqui na",11
"aqui não",2
"aqui naquele",1
"aqui nesse",1
"aqui nesta",7
"aqui neste",3
"aqui ninguém",1
"aqui no",15
"aqui nos",3
"aqui nós",2
"aqui o",7
"aqui os",1
"aqui para",8
"aqui parabenizar",2
"aqui peça",1
"aqui pelo",1
"aqui polemizar",1
"aqui por",1
"aqui porque",2
"aqui presentes",1
"aqui presidente",1
"aqui quantos",1
"aqui que",8
"aqui quero",2
"aqui registrado",1
"aqui sabem",1
"aqui se",1
"aqui sobre",2
"aqui sr",2
"aqui também",2
"aqui tem",1
"aqui toda",1
"aqui um",1
"aqui uma",4
"aqui vou",1
"aquilo no",1
"aquilo odiei",1
"aquilo que",6
"aquino sargento",1
"ar condicionado",1
"arábia saudita",1
"arcabouço penal",1
"arco norte",1
"área da",5
"área de",2
"área queimada",1
"área rural",1
"áreas carentes",1
"áreas de",1
"áreas dominadas",1
"áreas nesses",1
"áreas que",1
"áreas urbanas",2
"áreas vulneráveis",1
"areia para",1
"argentina eles",1
"argentina não",2
"argentino e",1
"argentino mas",1
"argentinos vierem",1
"argumento jurídico",1
"aristides presidente",1
"arma para",1
"armada capacitada",1
"armados aqueles",1
"arquivar esse",1
"arrecadar e",1
"arrecadar não",1
"arrecadará mais",1
"arrecadaram quase",1
"arrependidos até",1
"arrepio da",1
"arrogância imperialista",1
